Category,YoY Change(Percent),MoM Change(Percent),Industry Name,Job Postings,State
Remote,8,-2,Administrative and Support Services,1406,Alabama
Remote,-53,2,"Professional, Scientific, and Technical Services",707,Alabama
Remote,38,9,Insurance Carriers and Related Activities,603,Alabama
Remote,133,23,Educational Services,326,Alabama
Remote,3000,107,Food and Beverage Stores,217,Alabama
Remote,143,28,Publishing Industries (except Internet),148,Alabama
Remote,-41,-1,Ambulatory Health Care Services,72,Alabama
Remote,-10,-32,Credit Intermediation and Related Activities,62,Alabama
Remote,31,-26,Computer and Electronic Product Manufacturing,55,Alabama
Remote,44,-7,Hospitals,52,Alabama
Physical+Remote,-37,3,Truck Transportation,23233,Alabama
Physical+Remote,-38,-3,Administrative and Support Services,19722,Alabama
Physical+Remote,-30,-5,"Professional, Scientific, and Technical Services",11099,Alabama
Physical+Remote,-30,-6,Food Services and Drinking Places,11030,Alabama
Physical+Remote,5,3,Ambulatory Health Care Services,7716,Alabama
Physical+Remote,-17,-1,General Merchandise Stores,7190,Alabama
Physical+Remote,5,19,Hospitals,3819,Alabama
Physical+Remote,11,7,Motor Vehicle and Parts Dealers,3334,Alabama
Physical+Remote,20,10,Food and Beverage Stores,3130,Alabama
Physical+Remote,-58,44,Support Activities for Transportation,2973,Alabama
Physical+Remote,-20,6,Administrative and Support Services,6194,Alaska
Physical+Remote,-30,-2,"Professional, Scientific, and Technical Services",2502,Alaska
Physical+Remote,-21,5,Hospitals,2383,Alaska
Physical+Remote,-4,6,Ambulatory Health Care Services,1920,Alaska
Physical+Remote,101,48,National Security and International Affairs,1477,Alaska
Physical+Remote,-43,-3,Educational Services,1467,Alaska
Physical+Remote,23,1,Administration of Environmental Quality Programs,997,Alaska
Physical+Remote,18,-3,Food and Beverage Stores,873,Alaska
Physical+Remote,-31,-11,Food Services and Drinking Places,828,Alaska
Physical+Remote,-9,-5,"Executive, Legislative, and Other General Government Support",680,Alaska
Remote,-32,8,"Professional, Scientific, and Technical Services",339,Alaska
Remote,-11,10,Administrative and Support Services,328,Alaska
Remote,248,44,Insurance Carriers and Related Activities,233,Alaska
Remote,78,5,Educational Services,116,Alaska
Remote,211,38,Ambulatory Health Care Services,87,Alaska
Remote,470,27,Real Estate,57,Alaska
Remote,18,93,Credit Intermediation and Related Activities,52,Alaska
Remote,11,136,Hospitals,52,Alaska
Remote,140,14,Administration of Environmental Quality Programs,48,Alaska
Remote,74,21,Publishing Industries (except Internet),47,Alaska
Physical+Remote,-20,-4,Administrative and Support Services,36775,Arizona
Physical+Remote,-13,1,"Professional, Scientific, and Technical Services",23894,Arizona
Physical+Remote,-2,-3,Ambulatory Health Care Services,13752,Arizona
Physical+Remote,-26,-9,Food Services and Drinking Places,10955,Arizona
Physical+Remote,15,2,Hospitals,9125,Arizona
Physical+Remote,-20,2,Educational Services,8167,Arizona
Physical+Remote,-23,0,Truck Transportation,7246,Arizona
Physical+Remote,-30,6,Insurance Carriers and Related Activities,6175,Arizona
Physical+Remote,-22,-1,Credit Intermediation and Related Activities,5540,Arizona
Physical+Remote,25,-1,Food and Beverage Stores,5246,Arizona
Remote,48,3,Administrative and Support Services,2217,Arizona
Remote,12,11,"Professional, Scientific, and Technical Services",1904,Arizona
Remote,37,32,Insurance Carriers and Related Activities,1523,Arizona
Remote,112,2,Educational Services,409,Arizona
Remote,-11,17,Publishing Industries (except Internet),384,Arizona
Remote,119,25,Credit Intermediation and Related Activities,372,Arizona
Remote,38,2,Ambulatory Health Care Services,315,Arizona
Remote,956,57,Food and Beverage Stores,285,Arizona
Remote,166,-9,Hospitals,277,Arizona
Remote,47,-16,Computer and Electronic Product Manufacturing,219,Arizona
Physical+Remote,-9,13,Truck Transportation,27492,Arkansas
Physical+Remote,-42,3,Administrative and Support Services,12157,Arkansas
Physical+Remote,-33,-2,Food Services and Drinking Places,6308,Arkansas
Physical+Remote,18,1,Ambulatory Health Care Services,6019,Arkansas
Physical+Remote,-48,9,"Professional, Scientific, and Technical Services",5024,Arkansas
Physical+Remote,-26,7,General Merchandise Stores,4709,Arkansas
Physical+Remote,-37,98,Support Activities for Transportation,3083,Arkansas
Physical+Remote,4,13,Hospitals,2982,Arkansas
Physical+Remote,-9,-3,Educational Services,2683,Arkansas
Physical+Remote,41,17,Nursing and Residential Care Facilities,2031,Arkansas
Remote,-24,-20,Administrative and Support Services,766,Arkansas
Remote,52,13,Insurance Carriers and Related Activities,525,Arkansas
Remote,-44,16,"Professional, Scientific, and Technical Services",477,Arkansas
Remote,213,34,Educational Services,238,Arkansas
Remote,3200,118,Food and Beverage Stores,198,Arkansas
Remote,13,14,Publishing Industries (except Internet),153,Arkansas
Remote,-30,51,Telecommunications,80,Arkansas
Remote,33,16,Hospitals,72,Arkansas
Remote,283,77,Real Estate,69,Arkansas
Remote,-34,-42,Ambulatory Health Care Services,64,Arkansas
Physical+Remote,-33,1,Administrative and Support Services,191596,California
Physical+Remote,-33,3,"Professional, Scientific, and Technical Services",126002,California
Physical+Remote,-23,3,Ambulatory Health Care Services,50532,California
Physical+Remote,-36,-2,Food Services and Drinking Places,46609,California
Physical+Remote,-33,-2,Educational Services,38816,California
Physical+Remote,-5,16,Publishing Industries (except Internet),32486,California
Physical+Remote,-22,1,Computer and Electronic Product Manufacturing,31411,California
Physical+Remote,-10,5,Hospitals,27170,California
Physical+Remote,-23,3,Truck Transportation,26726,California
Physical+Remote,-8,3,Food and Beverage Stores,19240,California
Remote,26,11,"Professional, Scientific, and Technical Services",9245,California
Remote,38,-4,Administrative and Support Services,7670,California
Remote,-3,-3,Insurance Carriers and Related Activities,4428,California
Remote,78,37,Publishing Industries (except Internet),3186,California
Remote,34,5,Educational Services,1282,California
Remote,57,3,Computer and Electronic Product Manufacturing,1155,California
