Category,YoY Change(Percent),MoM Change(Percent),Occupation Name,Job Postings,State
Physical+Remote,-30,-1,Heavy and Tractor-Trailer Truck Drivers,27978,Alabama
Physical+Remote,-15,1,First-Line Supervisors of Retail Sales Workers,7358,Alabama
Physical+Remote,-46,9,Registered Nurses,6857,Alabama
Physical+Remote,-1,3,Retail Salespersons,6157,Alabama
Physical+Remote,-9,3,Customer Service Representatives,3832,Alabama
Physical+Remote,-35,13,Light Truck or Delivery Services Drivers,3463,Alabama
Physical+Remote,34,10,Stock Clerks and Order Fillers,2791,Alabama
Physical+Remote,-24,-2,First-Line Supervisors of Food Preparation and Serving Workers,2418,Alabama
Physical+Remote,-4,17,Driver/Sales Workers,1959,Alabama
Physical+Remote,-14,2,"Combined Food Preparation and Serving Workers, Including Fast Food",1953,Alabama
Remote,74,18,nsurance Sales Agents,859,Alabama
Remote,142,7,Customer Service Representatives,703,Alabama
Remote,76,48,"Software Developers, Applications",262,Alabama
Remote,223,40,Accountants and Auditors,168,Alabama
Remote,259,-3,Telemarketers,165,Alabama
Remote,131,36,"Computer Occupations, All Other",150,Alabama
Remote,2620,58,Billing and Posting Clerks,136,Alabama
Remote,16,2,Computer User Support Specialists,118,Alabama
Remote,-78,6,Postsecondary Teachers,111,Alabama
Remote,45,-7,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",100,Alabama
Remote,156,30,Insurance Sales Agents,164,Alaska
Remote,93,25,Customer Service Representatives,143,Alaska
Remote,206,53,"Software Developers, Applications",107,Alaska
Remote,186,-2,Computer User Support Specialists,63,Alaska
Remote,256,33,"Computer Occupations, All Other",57,Alaska
Remote,300,18,Telemarketers,52,Alaska
Remote,277,96,Marketing Managers,49,Alaska
Remote,18,48,Accountants and Auditors,40,Alaska
Remote,225,22,Network and Computer Systems Administrators,39,Alaska
Remote,0,41,Loan Officers,38,Alaska
Physical+Remote,4,15,Registered Nurses,3672,Alaska
Physical+Remote,-2,-8,Customer Service Representatives,699,Alaska
Physical+Remote,-28,-14,Retail Salespersons,583,Alaska
Physical+Remote,-9,-10,First-Line Supervisors of Retail Sales Workers,573,Alaska
Physical+Remote,-17,-7,Social and Human Service Assistants,509,Alaska
Physical+Remote,13,-2,Speech-Language Pathologists,498,Alaska
Physical+Remote,1,4,Computer User Support Specialists,453,Alaska
Physical+Remote,-38,-5,Postsecondary Teachers,447,Alaska
Physical+Remote,-17,-15,First-Line Supervisors of Office and Administrative Support Workers,433,Alaska
Physical+Remote,-45,-8,"Maintenance and Repair Workers, General",420,Alaska
Physical+Remote,-15,0,Registered Nurses,12879,Arizona
Physical+Remote,-12,2,Heavy and Tractor-Trailer Truck Drivers,9608,Arizona
Physical+Remote,2,5,Customer Service Representatives,7710,Arizona
Physical+Remote,-8,1,Retail Salespersons,5670,Arizona
Physical+Remote,-6,-2,First-Line Supervisors of Retail Sales Workers,5627,Arizona
Physical+Remote,-10,1,"Software Developers, Applications",5415,Arizona
Physical+Remote,40,5,Stock Clerks and Order Fillers,3933,Arizona
Physical+Remote,-15,0,First-Line Supervisors of Office and Administrative Support Workers,3609,Arizona
Physical+Remote,-15,0,"Computer Occupations, All Other",3246,Arizona
Physical+Remote,8,6,Computer User Support Specialists,3199,Arizona
Remote,214,23,Customer Service Representatives,1374,Arizona
Remote,47,8,Insurance Sales Agents,848,Arizona
Remote,120,17,"Software Developers, Applications",662,Arizona
Remote,1389,24,Loan Officers,417,Arizona
Remote,124,12,Computer User Support Specialists,397,Arizona
Remote,143,24,"Computer Occupations, All Other",352,Arizona
Remote,210,19,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",326,Arizona
Remote,2338,29,Loan Interviewers and Clerks,317,Arizona
Remote,6,18,"Sales Representatives, Services, All Other",308,Arizona
Remote,119,-12,Telemarketers,295,Arizona
Physical+Remote,-14,11,Heavy and Tractor-Trailer Truck Drivers,28072,Arkansas
Physical+Remote,-32,11,Registered Nurses,7527,Arkansas
Physical+Remote,-13,1,First-Line Supervisors of Retail Sales Workers,3601,Arkansas
Physical+Remote,-1,8,Retail Salespersons,3422,Arkansas
Physical+Remote,69,40,Driver/Sales Workers,3235,Arkansas
Physical+Remote,18,6,Customer Service Representatives,2633,Arkansas
Physical+Remote,-37,18,Light Truck or Delivery Services Drivers,2562,Arkansas
Physical+Remote,45,12,Stock Clerks and Order Fillers,1592,Arkansas
Physical+Remote,-9,8,First-Line Supervisors of Food Preparation and Serving Workers,1404,Arkansas
Physical+Remote,69,14,Personal Care Aides,1323,Arkansas
Remote,394,10,Customer Service Representatives,855,Arkansas
Remote,11,-3,Insurance Sales Agents,453,Arkansas
Remote,175,35,"Software Developers, Applications",231,Arkansas
Remote,256,82,Accountants and Auditors,153,Arkansas
Remote,168,55,"Computer Occupations, All Other",110,Arkansas
Remote,129,-31,Telemarketers,110,Arkansas
Remote,2450,48,Billing and Posting Clerks,102,Arkansas
Remote,104,0,Computer User Support Specialists,96,Arkansas
Remote,-79,0,Postsecondary Teachers,88,Arkansas
Remote,3700,43,Medical Assistants,76,Arkansas
Physical+Remote,-27,7,Registered Nurses,59146,California
Physical+Remote,-25,3,"Software Developers, Applications",49368,California
Physical+Remote,-15,3,Heavy and Tractor-Trailer Truck Drivers,34397,California
Physical+Remote,-29,8,Retail Salespersons,26704,California
Physical+Remote,-27,0,First-Line Supervisors of Retail Sales Workers,25171,California
Physical+Remote,-23,1,"Computer Occupations, All Other",21211,California
Physical+Remote,-35,-2,Marketing Managers,21021,California
Physical+Remote,26,11,Stock Clerks and Order Fillers,19132,California
Physical+Remote,-31,4,Customer Service Representatives,19099,California
Physical+Remote,-10,27,Light Truck or Delivery Services Drivers,15520,California
Remote,89,12,"Software Developers, Applications",4780,California
Remote,116,-4,Insurance Sales Agents,3654,California
Remote,154,-1,Customer Service Representatives,2453,California
Remote,111,3,"Computer Occupations, All Other",1611,California
Remote,47,6,Marketing Managers,1532,California
Remote,1596,10,Childcare Workers,1306,California
Remote,97,67,Accountants and Auditors,1180,California
Remote,54,6,Computer User Support Specialists,981,California
Remote,101,-6,Web Developers,924,California
Remote,-18,-8,Sales Managers,922,California
Physical+Remote,-14,1,Heavy and Tractor-Trailer Truck Drivers,13803,Colorado
Physical+Remote,-21,11,Registered Nurses,11449,Colorado
Physical+Remote,-14,-7,"Software Developers, Applications",8189,Colorado
Physical+Remote,-17,-1,Retail Salespersons,6096,Colorado
Physical+Remote,-15,-2,First-Line Supervisors of Retail Sales Workers,5906,Colorado
Physical+Remote,47,20,Stock Clerks and Order Fillers,5565,Colorado
Physical+Remote,-17,-8,"Computer Occupations, All Other",4838,Colorado
Physical+Remote,-30,-11,Customer Service Representatives,4586,Colorado
Physical+Remote,-1,12,Light Truck or Delivery Services Drivers,4222,Colorado
Physical+Remote,68,-5,Childcare Workers,3527,Colorado
Remote,91,16,"Software Developers, Applications",1002,Colorado
Remote,30,-8,Insurance Sales Agents,702,Colorado
Remote,41,-20,Customer Service Representatives,438,Colorado
