Date,Deaths,Covid Cases,State 
9/20/2020,0,91,Wyoming
9/20/2020,0,410,Nebraska
9/20/2020,0,351,North Dakota
9/20/2020,8,1333,North Carolina
9/20/2020,1,136,Montana
9/20/2020,0,27,New Hampshire
9/20/2020,2,1328,Missouri
9/20/2020,2,1296,Minnesota
9/20/2020,0,0,Michigan
9/20/2020,0,44,Maine
9/20/2020,3,453,New Jersey
9/20/2020,3,412,Maryland
9/20/2020,6,162,New Mexico
9/20/2020,15,359,Massachusetts
9/20/2020,3,385,Nevada
9/20/2020,26,936,Louisiana
9/20/2020,2,862,New York
9/20/2020,3,436,Kentucky
9/20/2020,3,762,Ohio
9/20/2020,0,0,Kansas
9/20/2020,3,1003,Oklahoma
9/20/2020,3,746,Indiana
9/20/2020,1,202,Oregon
9/20/2020,14,1402,Illinois
9/20/2020,25,733,Pennsylvania
9/20/2020,3,288,Idaho
9/20/2020,1,621,Iowa
9/20/2020,0,0,Rhode Island
9/20/2020,0,109,Hawaii
9/20/2020,11,468,South Carolina
9/20/2020,2,252,South Dakota
9/20/2020,3,1134,Georgia
9/20/2020,2,2075,Tennessee
9/20/2020,9,2521,Florida
9/20/2020,45,2466,Texas
9/20/2020,0,117,Delaware
9/20/2020,0,920,Utah
9/20/2020,1,53,Washington DC
9/20/2020,25,856,Virginia
9/20/2020,0,0,Connecticut
9/20/2020,0,606,Colorado
9/20/2020,0,5,Vermont
9/20/2020,75,4265,California
9/20/2020,0,597,Washington
9/20/2020,9,467,Arizona
9/20/2020,1,1735,Wisconsin
9/20/2020,2,180,West Virginia
9/20/2020,8,1641,Arkansas
9/20/2020,1,277,Mississippi
9/20/2020,0,798,Alabama
9/20/2020,0,93,Alaska
9/19/2020,3,2403,Wisconsin
9/19/2020,28,1229,North Carolina
9/19/2020,10,292,Montana
9/19/2020,11,191,West Virginia
9/19/2020,0,377,North Dakota
9/19/2020,13,1387,Missouri
9/19/2020,13,914,Minnesota
9/19/2020,15,587,Michigan
9/19/2020,1,30,Maine
9/19/2020,7,682,Maryland
9/19/2020,0,466,Nebraska
9/19/2020,26,599,Massachusetts
9/19/2020,0,59,New Hampshire
9/19/2020,0,0,Louisiana
9/19/2020,3,461,New Jersey
9/19/2020,7,978,Kentucky
9/19/2020,5,151,New Mexico
9/19/2020,0,0,Kansas
9/19/2020,4,323,Nevada
9/19/2020,8,1076,Indiana
9/19/2020,2,986,New York
9/19/2020,25,2529,Illinois
9/19/2020,4,951,Ohio
9/19/2020,4,470,Idaho
9/19/2020,4,1237,Oklahoma
9/19/2020,4,847,Iowa
9/19/2020,4,257,Oregon
9/19/2020,13,112,Hawaii
9/19/2020,22,1162,Pennsylvania
9/19/2020,62,2284,Georgia
9/19/2020,0,0,Rhode Island
9/19/2020,63,3573,Florida
9/19/2020,11,922,South Carolina
9/19/2020,1,83,Delaware
9/19/2020,2,369,South Dakota
9/19/2020,0,50,Washington DC
9/19/2020,20,942,Tennessee
9/19/2020,0,0,Connecticut
9/19/2020,135,3827,Texas
9/19/2020,2,605,Colorado
9/19/2020,3,1077,Utah
9/19/2020,100,4304,California
9/19/2020,41,953,Virginia
9/19/2020,16,609,Arizona
9/19/2020,0,4,Vermont
9/19/2020,0,0,Arkansas
9/19/2020,0,0,Washington
9/19/2020,9,1301,Alabama
9/19/2020,0,87,Alaska
9/19/2020,0,33,Wyoming
9/19/2020,29,1152,Mississippi
9/18/2020,0,95,Wyoming
9/18/2020,0,0,Mississippi
9/18/2020,23,1795,Missouri
9/18/2020,3,224,Montana
9/18/2020,-1,778,Michigan
9/18/2020,0,43,Maine
9/18/2020,8,543,Maryland
9/18/2020,9,454,Massachusetts
9/18/2020,29,979,Louisiana
9/18/2020,27,1443,North Carolina
9/18/2020,8,758,Kentucky
9/18/2020,0,507,North Dakota
9/18/2020,10,1415,Kansas
9/18/2020,3,502,Nebraska
9/18/2020,17,1037,Indiana
9/18/2020,0,47,New Hampshire
9/18/2020,23,2223,Illinois
9/18/2020,4,487,New Jersey
9/18/2020,5,396,Idaho
9/18/2020,4,158,New Mexico
9/18/2020,9,1183,Iowa
9/18/2020,18,501,Nevada
9/18/2020,4,159,Hawaii
9/18/2020,10,790,New York
9/18/2020,28,1011,Ohio
9/18/2020,63,1834,Georgia
9/18/2020,9,1249,Oklahoma
9/18/2020,140,3204,Florida
9/18/2020,0,492,Oregon
9/18/2020,1,48,Delaware
9/18/2020,21,760,Pennsylvania
9/18/2020,0,62,Washington DC
9/18/2020,4,141,Connecticut
9/18/2020,3,132,Rhode Island
9/18/2020,6,459,Colorado
9/18/2020,19,872,South Carolina
9/18/2020,91,3630,California
9/18/2020,5,389,South Dakota
9/18/2020,42,1282,Arizona
9/18/2020,32,2357,Tennessee
9/18/2020,123,3422,Texas
9/18/2020,7,871,Arkansas
9/18/2020,0,1117,Utah
9/18/2020,27,1106,Alabama
9/18/2020,29,1242,Virginia
9/18/2020,1,116,Alaska
9/18/2020,6,404,Washington
9/18/2020,0,1,Vermont
9/18/2020,3,253,West Virginia
9/18/2020,8,1085,Minnesota
9/18/2020,7,2580,Wisconsin
9/17/2020,4,234,West Virginia
9/17/2020,31,1552,North Carolina
9/17/2020,2,216,Montana
9/17/2020,24,701,Mississippi
9/17/2020,1,390,North Dakota
9/17/2020,18,1747,Missouri
9/17/2020,9,909,Minnesota
9/17/2020,12,980,Michigan
9/17/2020,0,21,Maine
9/17/2020,6,631,Maryland
9/17/2020,3,449,Nebraska
9/17/2020,15,429,Massachusetts
9/17/2020,0,34,New Hampshire
9/17/2020,17,478,Louisiana
9/17/2020,3,569,New Jersey
9/17/2020,11,606,Kentucky
9/17/2020,2,118,New Mexico
9/17/2020,0,0,Kansas
9/17/2020,12,347,Nevada
9/17/2020,6,837,Indiana
9/17/2020,3,896,New York
9/17/2020,25,2056,Illinois
9/17/2020,25,1067,Ohio
9/17/2020,6,283,Idaho
9/17/2020,6,1034,Oklahoma
9/17/2020,14,948,Iowa
9/17/2020,0,0,Oregon
9/17/2020,3,102,Hawaii
9/17/2020,10,933,Pennsylvania
9/17/2020,55,1847,Georgia
9/17/2020,4,130,Rhode Island
9/17/2020,147,3255,Florida
9/17/2020,26,1324,South Carolina
9/17/2020,0,84,Delaware
9/17/2020,1,395,South Dakota
9/17/2020,2,47,Washington DC
9/17/2020,13,1053,Tennessee
9/17/2020,1,220,Connecticut
9/17/2020,112,4047,Texas
9/17/2020,0,587,Colorado
9/17/2020,0,911,Utah
9/17/2020,106,3238,California
9/17/2020,36,1101,Virginia
9/17/2020,38,1753,Arizona
9/17/2020,0,3,Vermont
9/17/2020,9,992,Arkansas
9/17/2020,11,386,Washington
9/17/2020,9,670,Alabama
9/17/2020,2,2134,Wisconsin
9/17/2020,3,86,Wyoming
9/17/2020,0,106,Alaska
9/16/2020,10,220,West Virginia
9/16/2020,1,187,Montana
9/16/2020,22,711,Mississippi
9/16/2020,0,128,Wyoming
9/16/2020,38,1137,North Carolina
9/16/2020,6,462,Minnesota
9/16/2020,11,773,Michigan
9/16/2020,1,23,Maine
9/16/2020,6,643,Maryland
9/16/2020,20,306,Massachusetts
9/16/2020,6,269,North Dakota
9/16/2020,16,612,Louisiana
9/16/2020,1,328,Nebraska
9/16/2020,8,764,Kentucky
9/16/2020,0,32,New Hampshire
9/16/2020,52,971,Kansas
9/16/2020,9,388,New Jersey
9/16/2020,12,580,Indiana
9/16/2020,7,81,New Mexico
9/16/2020,35,1941,Illinois
9/16/2020,12,208,Nevada
9/16/2020,4,278,Idaho
9/16/2020,5,652,New York
9/16/2020,3,803,Iowa
9/16/2020,49,1033,Ohio
9/16/2020,1,65,Hawaii
9/16/2020,12,970,Oklahoma
9/16/2020,2,188,Oregon
9/16/2020,21,2223,Georgia
9/16/2020,28,776,Pennsylvania
9/16/2020,154,2355,Florida
9/16/2020,1,97,Delaware
9/16/2020,3,108,Rhode Island
9/16/2020,1,56,Washington DC
9/16/2020,34,652,South Carolina
9/16/2020,2,135,Connecticut
9/16/2020,8,297,South Dakota
9/16/2020,11,400,Colorado
9/16/2020,24,1856,Tennessee
9/16/2020,164,2950,California
9/16/2020,135,6026,Texas
9/16/2020,27,698,Arizona
9/16/2020,1,747,Utah
9/16/2020,45,845,Virginia
9/16/2020,147,862,Arkansas
9/16/2020,5,927,Alabama
9/16/2020,0,0,Vermont
9/16/2020,0,52,Alaska
9/16/2020,5,347,Washington
9/16/2020,8,1502,Wisconsin
9/16/2020,7,1191,Missouri
9/15/2020,0,46,Wyoming
9/15/2020,2,137,Montana
9/15/2020,28,505,Mississippi
9/15/2020,51,1106,North Carolina
9/15/2020,5,402,Minnesota
9/15/2020,11,682,Michigan
9/15/2020,1,15,Maine
9/15/2020,10,599,Maryland
9/15/2020,6,313,Massachusetts
9/15/2020,1,233,North Dakota
9/15/2020,26,371,Louisiana
9/15/2020,1,307,Nebraska
9/15/2020,9,718,Kentucky
9/15/2020,2,34,New Hampshire
9/15/2020,0,0,Kansas
9/15/2020,9,436,New Jersey
9/15/2020,21,689,Indiana
9/15/2020,0,81,New Mexico
9/15/2020,18,1466,Illinois
9/15/2020,26,226,Nevada
9/15/2020,4,253,Idaho
9/15/2020,11,766,New York
9/15/2020,10,401,Iowa
9/15/2020,87,1001,Ohio
9/15/2020,0,79,Hawaii
9/15/2020,7,1091,Oklahoma
9/15/2020,8,178,Oregon
9/15/2020,45,1496,Georgia
9/15/2020,6,1151,Pennsylvania
9/15/2020,146,3116,Florida
9/15/2020,1,200,Delaware
9/15/2020,3,120,Rhode Island
9/15/2020,0,65,Washington DC
9/15/2020,21,790,South Carolina
9/15/2020,0,136,Connecticut
9/15/2020,0,193,South Dakota
9/15/2020,5,375,Colorado
9/15/2020,30,957,Tennessee
9/15/2020,66,2235,California
9/15/2020,132,5301,Texas
9/15/2020,22,484,Arizona
9/15/2020,0,562,Utah
9/15/2020,96,943,Virginia
9/15/2020,18,730,Arkansas
